id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,11206,112,06,1,510101,繳付公庫數,122965,1714765
201,11206,112,06,1,5102,人事支出,55021829,441138647
201,11206,112,06,1,5103,業務支出,14741989,110150358
201,11206,112,06,1,5104,獎補助支出,311300,612315
201,11206,112,06,1,5105,財產損失,3429,166116
201,11206,112,06,1,5108,折舊、折耗及攤銷,3371291,21011575
201,11206,112,06,1,,收支餘絀,54972,-6076206
201,11207,112,07,1,410101,公庫撥入數,85815823,652818628
201,11207,112,07,1,4103,罰款及賠償收入,0,6000
201,11207,112,07,1,4104,規費收入,40,234
201,11207,112,07,1,4105,財產收益,369528,1850706
201,11207,112,07,1,4108,其他收入,29412,256805
201,11207,112,07,1,510101,繳付公庫數,398980,2113745
201,11207,112,07,1,5102,人事支出,50504735,491643382
201,11207,112,07,1,5103,業務支出,19967746,130118104
201,11207,112,07,1,5104,獎補助支出,4115,616430
201,11207,112,07,1,5105,財產損失,7607,173723
201,11207,112,07,1,5108,折舊、折耗及攤銷,3441438,24453013
201,11207,112,07,1,,收支餘絀,11890182,5813976
201,11208,112,08,1,410101,公庫撥入數,92340095,745158723
201,11208,112,08,1,4103,罰款及賠償收入,0,6000
201,11208,112,08,1,4104,規費收入,0,234
201,11208,112,08,1,4105,財產收益,83400,1934106
201,11208,112,08,1,4108,其他收入,31229,288034
201,11208,112,08,1,510101,繳付公庫數,114629,2228374
201,11208,112,08,1,5102,人事支出,51048482,542691864
201,11208,112,08,1,5103,業務支出,22897144,153015248
201,11208,112,08,1,5104,獎補助支出,0,616430
