id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,預算數_原預算數,預算數_預算增減數,預算數_合計1,決算數_實現數,決算數_應收數,決算數_保留數,決算數_合計2,預決算比較增減數,決算數占預算數之比率
401,110,110,,22,,,0704010000-0,立法院,,,9115000,0,9115000,8704762,0,0,8704762,-410238,95.50
401,110,110,,,1,,0704010100-4,財產孳息,,,7859000,0,7859000,6856907,0,0,6856907,-1002093,87.25
401,110,110,,,,1,0704010103-2,租金收入,,,7859000,0,7859000,6856907,0,0,6856907,-1002093,87.25
401,110,110,,,2,,0704010500-2,廢舊物資售價,,,1256000,0,1256000,1847855,0,0,1847855,591855,147.12
401,110,110,7,,,,1200000000-8,其他收入,,,749000,0,749000,842987,0,0,842987,93987,112.55
401,110,110,,24,,,1204010000-9,立法院,,,749000,0,749000,842987,0,0,842987,93987,112.55
401,110,110,,,1,,1204010200-8,雜項收入,,,749000,0,749000,842987,0,0,842987,93987,112.55
401,110,110,,,,1,1204010201-0,收回以前年度歲出,,,320000,0,320000,224885,0,0,224885,-95115,70.28
401,110,110,,,,2,1204010210-1,其他雜項收入,,,429000,0,429000,618102,0,0,618102,189102,144.08
401,110,110,,,,,經常門小計,,,,10264000,0,10264000,9650287,0,0,9650287,-613713,94.02
401,110,110,,,,,資本門小計,,0,0,0,0,0,0,0,0,0,0,0.00
401,110,110,,,,,合計,,,,10264000,0,10264000,9650287,0,0,9650287,-613713,94.02
401,111,111,2,,,,0400000000-2,罰款及賠償收入,,,165000,0,165000,207782,0,0,207782,42782,125.93
401,111,111,,21,,,0404010000-3,立法院,,,165000,0,165000,207782,0,0,207782,42782,125.93
401,111,111,,,1,,0404010300-7,賠償收入,,,165000,0,165000,197782,0,0,197782,32782,119.87
401,111,111,,,,1,0404010301-0,一般賠償收入,,,165000,0,165000,197782,0,0,197782,32782,119.87
401,111,111,,,2,,0404010200-2,沒入及沒收財物,,,0,0,0,10000,0,0,10000,10000,0.00
401,111,111,,,,1,0404010201-5,沒入金,,,0,0,0,10000,0,0,10000,10000,0.00
401,111,111,4,,,,0700000000-9,財產收入,,,9142000,0,9142000,10420519,0,0,10420519,1278519,113.99
401,111,111,,22,,,0704010000-0,立法院,,,9142000,0,9142000,10420519,0,0,10420519,1278519,113.99
401,111,111,,,1,,0704010100-4,財產孳息,,,8300000,0,8300000,8714907,0,0,8714907,414907,105.00
401,111,111,,,,1,0704010103-2,租金收入,,,8300000,0,8300000,8714907,0,0,8714907,414907,105.00
401,111,111,,,2,,0704010500-2,廢舊物資售價,,,842000,0,842000,1705612,0,0,1705612,863612,202.57
401,111,111,7,,,,1200000000-8,其他收入,,,720000,0,720000,661195,0,0,661195,-58805,91.83
401,111,111,,24,,,1204010000-9,立法院,,,720000,0,720000,661195,0,0,661195,-58805,91.83
401,111,111,,,1,,1204010200-8,雜項收入,,,720000,0,720000,661195,0,0,661195,-58805,91.83
401,111,111,,,,1,1204010201-0,收回以前年度歲出,,,300000,0,300000,178672,0,0,178672,-121328,59.56
401,111,111,,,,2,1204010210-1,其他雜項收入,,,420000,0,420000,482523,0,0,482523,62523,114.89
401,111,111,,,,,經常門小計,,,,10027000,0,10027000,11289496,0,0,11289496,1262496,112.59
401,111,111,,,,,資本門小計,,0,0,0,0,0,0,0,0,0,0,0.00
401,111,111,,,,,合計,,,,10027000,0,10027000,11289496,0,0,11289496,1262496,112.59
401,112,112,2,,,,0400000000-2,罰款及賠償收入,,,172000,0,172000,1243122,0,0,1243122,1071122,722.75
401,112,112,,20,,,0404010000-3,立法院,,,172000,0,172000,1243122,0,0,1243122,1071122,722.75
401,112,112,,,1,,0404010300-7,賠償收入,,,172000,0,172000,213122,0,0,213122,41122,123.91
401,112,112,,,,1,0404010301-0,一般賠償收入,,,172000,0,172000,213122,0,0,213122,41122,123.91
401,112,112,,,2,,0404010200-2,沒入及沒收財物,,,0,0,0,1030000,0,0,1030000,1030000,0.00
401,112,112,,,,1,0404010201-5,沒入金,,,0,0,0,1030000,0,0,1030000,1030000,0.00
401,112,112,4,,,,0700000000-9,財產收入,,,9706000,0,9706000,11001273,0,0,11001273,1295273,113.35
401,112,112,,22,,,0704010000-0,立法院,,,9706000,0,9706000,11001273,0,0,11001273,1295273,113.35
401,112,112,,,1,,0704010100-4,財產孳息,,,9164000,0,9164000,9696881,0,0,9696881,532881,105.81
401,112,112,,,,1,0704010102-0,權利金,,,2033000,0,2033000,2702465,0,0,2702465,669465,132.93
