id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額
240,10602,106,02,2,1405,機械及設備,3886494384
240,10602,106,02,2,1406,交通及運輸設備,173288353
240,10602,106,02,2,1407,雜項設備,735751270
240,10602,106,02,2,1410,收藏品及傳承資產,37836300000
240,10602,106,02,2,1411,購建中固定資產,538198876
240,10602,106,02,2,1601,無形資產,262019043
240,10602,106,02,2,3601,資本資產總額,61937067511
240,10603,106,03,2,1401,土地,10944251708
240,10603,106,03,2,1402,土地改良物,3293000
240,10603,106,03,2,1404,房屋建築及設備,7545368616
240,10603,106,03,2,1405,機械及設備,3788218400
240,10603,106,03,2,1406,交通及運輸設備,169142795
240,10603,106,03,2,1407,雜項設備,716882853
240,10603,106,03,2,1410,收藏品及傳承資產,37836300000
240,10603,106,03,2,1411,購建中固定資產,553526436
240,10603,106,03,2,1601,無形資產,262030134
240,10603,106,03,2,3601,資本資產總額,61819013942
240,10604,106,04,2,1401,土地,10944251708
240,10604,106,04,2,1402,土地改良物,3293000
240,10604,106,04,2,1404,房屋建築及設備,7541128341
240,10604,106,04,2,1405,機械及設備,3751798237
240,10604,106,04,2,1406,交通及運輸設備,164687644
240,10604,106,04,2,1407,雜項設備,696576798
240,10604,106,04,2,1410,收藏品及傳承資產,37836300000
240,10604,106,04,2,1411,購建中固定資產,581821920
240,10604,106,04,2,1601,無形資產,261482124
240,10604,106,04,2,3601,資本資產總額,61781339772
240,10605,106,05,2,1401,土地,10944251708
240,10605,106,05,2,1402,土地改良物,3293000
240,10605,106,05,2,1404,房屋建築及設備,7573923648
240,10605,106,05,2,1405,機械及設備,3673667358
240,10605,106,05,2,1406,交通及運輸設備,160693353
240,10605,106,05,2,1407,雜項設備,707562242
240,10605,106,05,2,1410,收藏品及傳承資產,37836300000
240,10605,106,05,2,1411,購建中固定資產,593174522
240,10605,106,05,2,1601,無形資產,259194542
240,10605,106,05,2,3601,資本資產總額,61752060373
240,10606,106,06,2,1401,土地,10944251708
240,10606,106,06,2,1402,土地改良物,3363000
240,10606,106,06,2,1404,房屋建築及設備,7570991331
240,10606,106,06,2,1405,機械及設備,3630437821
240,10606,106,06,2,1406,交通及運輸設備,155953901
240,10606,106,06,2,1407,雜項設備,687876433
240,10606,106,06,2,1410,收藏品及傳承資產,37836300000
240,10606,106,06,2,1411,購建中固定資產,623098779
240,10606,106,06,2,1601,無形資產,265440749
240,10606,106,06,2,3601,資本資產總額,61717713722
240,10607,106,07,2,1401,土地,10944251708
240,10607,106,07,2,1402,土地改良物,3363000
240,10607,106,07,2,1404,房屋建築及設備,7556440761
240,10607,106,07,2,1405,機械及設備,3584314474
240,10607,106,07,2,1406,交通及運輸設備,152116118
240,10607,106,07,2,1407,雜項設備,672033734
240,10607,106,07,2,1410,收藏品及傳承資產,37836300000
240,10607,106,07,2,1411,購建中固定資產,647752379
240,10607,106,07,2,1601,無形資產,262347850
240,10607,106,07,2,3601,資本資產總額,61658920024
240,10608,106,08,2,1401,土地,10944251708
240,10608,106,08,2,1402,土地改良物,3363000
240,10608,106,08,2,1404,房屋建築及設備,7545243080
240,10608,106,08,2,1405,機械及設備,3565579209
240,10608,106,08,2,1406,交通及運輸設備,148238738
240,10608,106,08,2,1407,雜項設備,662820301
240,10608,106,08,2,1410,收藏品及傳承資產,37836300000
240,10608,106,08,2,1411,購建中固定資產,691835281
240,10608,106,08,2,1601,無形資產,261096582
240,10608,106,08,2,3601,資本資產總額,61658727899
240,10609,106,09,2,1401,土地,10944251708
240,10609,106,09,2,1402,土地改良物,3363000
240,10609,106,09,2,1404,房屋建築及設備,7533098540
240,10609,106,09,2,1405,機械及設備,3518605407
240,10609,106,09,2,1406,交通及運輸設備,148879294
240,10609,106,09,2,1407,雜項設備,644141343
240,10609,106,09,2,1410,收藏品及傳承資產,37836300000
240,10609,106,09,2,1411,購建中固定資產,692434852
240,10609,106,09,2,1601,無形資產,263219110
240,10609,106,09,2,3601,資本資產總額,61584293254
240,10610,106,10,2,1401,土地,10944251708
240,10610,106,10,2,1402,土地改良物,3363000
240,10610,106,10,2,1404,房屋建築及設備,7519592979
240,10610,106,10,2,1405,機械及設備,3454010923
240,10610,106,10,2,1406,交通及運輸設備,144996982
240,10610,106,10,2,1407,雜項設備,631704647
240,10610,106,10,2,1410,收藏品及傳承資產,37836300000
240,10610,106,10,2,1411,購建中固定資產,704175608
240,10610,106,10,2,1601,無形資產,265969701
240,10610,106,10,2,3601,資本資產總額,61504365548
240,10611,106,11,2,1401,土地,10944251708
240,10611,106,11,2,1402,土地改良物,3363000
